"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1520,4,-1,-1,-1,-1,-1,1520.29,"1520-4-15 00:00:00"
1520,5,-1,-1,-1,-1,-1,1520.38,"1520-5-15 00:00:00"
1520,6,1,1,1,1,1,1520.46,"1520-6-15 00:00:00"
1520,7,1,1,1,1,1,1520.54,"1520-7-15 00:00:00"
1520,8,0,0,0,0,0,1520.62,"1520-8-15 00:00:00"
1520,9,-2,-2,-2,-2,-2,1520.71,"1520-9-15 00:00:00"
1520,10,0,0,0,0,0,1520.79,"1520-10-15 00:00:00"
1520,11,0,0,0,0,0,1520.88,"1520-11-15 00:00:00"
1520,12,2,2,2,2,2,1520.96,"1520-12-15 00:00:00"
1521,1,1,1,1,1,1,1521.04,"1521-1-15 00:00:00"
1521,2,3,3,3,3,3,1521.12,"1521-2-15 00:00:00"
1521,3,0,0,0,0,0,1521.21,"1521-3-15 00:00:00"
1521,4,0,0,0,0,0,1521.29,"1521-4-15 00:00:00"
1521,5,0,0,0,0,0,1521.38,"1521-5-15 00:00:00"
1521,6,0,0,0,0,0,1521.46,"1521-6-15 00:00:00"
1521,7,0,0,0,0,0,1521.54,"1521-7-15 00:00:00"
1521,8,0,0,0,0,0,1521.62,"1521-8-15 00:00:00"
1521,9,1,1,1,1,1,1521.71,"1521-9-15 00:00:00"
1521,10,1,1,1,1,1,1521.79,"1521-10-15 00:00:00"
1521,11,0,0,0,0,0,1521.88,"1521-11-15 00:00:00"
1521,12,0,0,0,0,0,1521.96,"1521-12-15 00:00:00"
1522,1,-2,-2,-2,-2,-2,1522.04,"1522-1-15 00:00:00"
1522,2,-1,-1,-1,-1,-1,1522.12,"1522-2-15 00:00:00"
1522,3,0,0,0,0,0,1522.21,"1522-3-15 00:00:00"
1522,4,0,0,0,0,0,1522.29,"1522-4-15 00:00:00"
1522,5,-1,-1,-1,-1,-1,1522.38,"1522-5-15 00:00:00"
1522,6,-1,-1,-1,-1,-1,1522.46,"1522-6-15 00:00:00"
1522,7,0,0,0,0,0,1522.54,"1522-7-15 00:00:00"
1522,8,0,0,0,0,0,1522.62,"1522-8-15 00:00:00"
1522,9,0,0,0,0,0,1522.71,"1522-9-15 00:00:00"
1522,10,0,0,0,0,0,1522.79,"1522-10-15 00:00:00"
1522,11,0,0,0,0,0,1522.88,"1522-11-15 00:00:00"
1522,12,2,2,2,2,2,1522.96,"1522-12-15 00:00:00"
